Time,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
12:00:00 AM,-1,-1,-1,-1,-1,-1,-1
12:15:00 AM,-1,-1,-1,-1,-1,-1,-1
12:30:00 AM,-1,-1,-1,-1,-1,-1,-1
12:45:00 AM,-1,-1,-1,-1,-1,-1,-1
1:00:00 AM,-1,-1,-1,-1,-1,-1,-1
1:15:00 AM,-1,-1,-1,-1,-1,-1,-1
1:30:00 AM,-1,-1,-1,-1,-1,-1,-1
1:45:00 AM,-1,-1,-1,-1,-1,-1,-1
2:00:00 AM,-1,-1,-1,-1,-1,-1,-1
2:15:00 AM,-1,-1,-1,-1,-1,-1,-1
2:30:00 AM,-1,-1,-1,-1,-1,-1,-1
2:45:00 AM,-1,-1,-1,-1,-1,-1,-1
3:00:00 AM,-1,-1,-1,-1,-1,-1,-1
3:15:00 AM,-1,-1,-1,-1,-1,-1,-1
3:30:00 AM,-1,-1,-1,-1,-1,-1,-1
3:45:00 AM,-1,-1,-1,-1,-1,-1,-1
4:00:00 AM,-1,-1,-1,-1,-1,-1,-1
4:15:00 AM,-1,-1,-1,-1,-1,-1,-1
4:30:00 AM,-1,-1,-1,-1,-1,-1,-1
4:45:00 AM,-1,-1,-1,-1,-1,-1,-1
5:00:00 AM,-1,-1,-1,-1,-1,-1,-1
5:15:00 AM,-1,-1,-1,-1,-1,-1,-1
5:30:00 AM,-1,-1,-1,-1,-1,-1,-1
5:45:00 AM,-1,-1,-1,-1,-1,-1,-1
6:00:00 AM,-1,-1,-1,-1,-1,-1,-1
6:15:00 AM,-1,-1,-1,-1,-1,-1,-1
6:30:00 AM,-1,-1,-1,-1,-1,-1,-1
6:45:00 AM,-1,-1,-1,-1,-1,-1,-1
7:00:00 AM,-1,-1,-1,-1,-1,-1,-1
7:15:00 AM,-1,-1,-1,-1,-1,-1,-1
7:30:00 AM,-1,-1,-1,-1,-1,-1,-1
7:45:00 AM,-1,-1,-1,-1,-1,-1,-1
8:00:00 AM,-1,2,2,2,2,2,-1
8:15:00 AM,-1,4,4,4,4,3,-1
8:30:00 AM,-1,5,4,5,4,4,-1
8:45:00 AM,-1,6,5,6,5,5,-1
9:00:00 AM,-1,8,10,8,10,6,-1
9:15:00 AM,-1,6,12,6,12,5,-1
9:30:00 AM,-1,5,10,5,10,4,-1
9:45:00 AM,-1,4,8,4,8,4,-1
10:00:00 AM,-1,3,5,3,5,3,-1
10:15:00 AM,-1,4,4,4,4,4,-1
10:30:00 AM,-1,6,6,6,6,5,-1
10:45:00 AM,-1,8,8,8,8,7,-1
11:00:00 AM,-1,10,10,10,10,9,2
11:15:00 AM,-1,12,12,12,12,11,3
11:30:00 AM,-1,15,15,15,15,14,5
11:45:00 AM,-1,15,15,15,15,15,6
12:00:00 PM,-1,15,15,15,15,15,8
12:15:00 PM,-1,15,15,15,15,15,10
12:30:00 PM,-1,15,15,15,15,15,10
12:45:00 PM,-1,14,14,14,14,12,8
1:00:00 PM,-1,12,12,12,12,10,6
1:15:00 PM,-1,10,10,10,10,8,5
1:30:00 PM,-1,8,8,8,8,6,4
1:45:00 PM,-1,6,6,6,6,5,3
2:00:00 PM,-1,4,4,4,4,4,2
2:15:00 PM,-1,2,2,2,2,2,2
2:30:00 PM,-1,2,2,2,2,2,2
2:45:00 PM,-1,2,2,2,2,2,2
3:00:00 PM,-1,2,2,2,2,2,2
3:15:00 PM,-1,2,2,2,2,2,2
3:30:00 PM,-1,3,3,3,3,2,2
3:45:00 PM,-1,4,4,4,4,3,2
4:00:00 PM,-1,5,5,5,5,4,-1
4:15:00 PM,-1,6,6,6,6,5,-1
4:30:00 PM,-1,8,8,8,8,7,-1
4:45:00 PM,-1,10,10,10,10,8,-1
5:00:00 PM,-1,12,12,12,12,10,-1
5:15:00 PM,-1,10,10,10,10,8,-1
5:30:00 PM,-1,8,8,8,8,6,-1
5:45:00 PM,-1,6,6,6,6,4,-1
6:00:00 PM,-1,-1,-1,-1,-1,-1,-1
6:15:00 PM,-1,-1,-1,-1,-1,-1,-1
6:30:00 PM,-1,-1,-1,-1,-1,-1,-1
6:45:00 PM,-1,-1,-1,-1,-1,-1,-1
7:00:00 PM,-1,-1,-1,-1,-1,-1,-1
7:15:00 PM,-1,-1,-1,-1,-1,-1,-1
7:30:00 PM,-1,-1,-1,-1,-1,-1,-1
7:45:00 PM,-1,-1,-1,-1,-1,-1,-1
8:00:00 PM,-1,-1,-1,-1,-1,-1,-1
8:15:00 PM,-1,-1,-1,-1,-1,-1,-1
8:30:00 PM,-1,-1,-1,-1,-1,-1,-1
8:45:00 PM,-1,-1,-1,-1,-1,-1,-1
9:00:00 PM,-1,-1,-1,-1,-1,-1,-1
9:15:00 PM,-1,-1,-1,-1,-1,-1,-1
9:30:00 PM,-1,-1,-1,-1,-1,-1,-1
9:45:00 PM,-1,-1,-1,-1,-1,-1,-1
10:00:00 PM,-1,-1,-1,-1,-1,-1,-1
10:15:00 PM,-1,-1,-1,-1,-1,-1,-1
10:30:00 PM,-1,-1,-1,-1,-1,-1,-1
10:45:00 PM,-1,-1,-1,-1,-1,-1,-1
11:00:00 PM,-1,-1,-1,-1,-1,-1,-1
11:15:00 PM,-1,-1,-1,-1,-1,-1,-1
11:30:00 PM,-1,-1,-1,-1,-1,-1,-1
11:45:00 PM,-1,-1,-1,-1,-1,-1,-1
