Time,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
12:00:00 AM,-1,-1,-1,-1,-1,-1,-1
12:15:00 AM,-1,-1,-1,-1,-1,-1,-1
12:30:00 AM,-1,-1,-1,-1,-1,-1,-1
12:45:00 AM,-1,-1,-1,-1,-1,-1,-1
1:00:00 AM,-1,-1,-1,-1,-1,-1,-1
1:15:00 AM,-1,-1,-1,-1,-1,-1,-1
1:30:00 AM,-1,-1,-1,-1,-1,-1,-1
1:45:00 AM,-1,-1,-1,-1,-1,-1,-1
2:00:00 AM,-1,-1,-1,-1,-1,-1,-1
2:15:00 AM,-1,-1,-1,-1,-1,-1,-1
2:30:00 AM,-1,-1,-1,-1,-1,-1,-1
2:45:00 AM,-1,-1,-1,-1,-1,-1,-1
3:00:00 AM,-1,-1,-1,-1,-1,-1,-1
3:15:00 AM,-1,-1,-1,-1,-1,-1,-1
3:30:00 AM,-1,-1,-1,-1,-1,-1,-1
3:45:00 AM,-1,-1,-1,-1,-1,-1,-1
4:00:00 AM,-1,-1,-1,-1,-1,-1,-1
4:15:00 AM,-1,-1,-1,-1,-1,-1,-1
4:30:00 AM,-1,-1,-1,-1,-1,-1,-1
4:45:00 AM,-1,-1,-1,-1,-1,-1,-1
5:00:00 AM,-1,-1,-1,-1,-1,-1,-1
5:15:00 AM,-1,-1,-1,-1,-1,-1,-1
5:30:00 AM,-1,-1,-1,-1,-1,-1,-1
5:45:00 AM,-1,-1,-1,-1,-1,-1,-1
6:00:00 AM,-1,-1,-1,-1,-1,-1,-1
6:15:00 AM,-1,-1,-1,-1,-1,-1,-1
6:30:00 AM,-1,-1,-1,-1,-1,-1,-1
6:45:00 AM,-1,-1,-1,-1,-1,-1,-1
7:00:00 AM,-1,10,10,10,10,10,-1
7:15:00 AM,-1,12,11,10,13,12,-1
7:30:00 AM,-1,15,14,16,18,15,-1
7:45:00 AM,-1,20,22,19,24,21,-1
8:00:00 AM,-1,25,24,26,28,25,-1
8:15:00 AM,-1,30,28,32,30,29,-1
8:30:00 AM,-1,35,37,34,36,32,-1
8:45:00 AM,-1,20,18,22,19,17,-1
9:00:00 AM,-1,15,14,15,15,12,-1
9:15:00 AM,-1,10,10,10,10,10,-1
9:30:00 AM,-1,10,10,10,10,10,-1
9:45:00 AM,-1,10,10,10,10,10,-1
10:00:00 AM,-1,10,10,10,10,10,-1
10:15:00 AM,-1,10,10,10,10,10,-1
10:30:00 AM,-1,11,9,12,10,11,-1
10:45:00 AM,-1,12,13,11,14,12,-1
11:00:00 AM,-1,16,14,17,15,14,-1
11:15:00 AM,-1,25,22,28,24,20,-1
11:30:00 AM,-1,38,42,39,41,32,-1
11:45:00 AM,-1,55,58,62,60,45,-1
12:00:00 PM,-1,82,78,83,79,62,-1
12:15:00 PM,-1,85,88,84,81,68,-1
12:30:00 PM,-1,77,82,79,81,66,-1
12:45:00 PM,-1,65,70,62,68,55,-1
1:00:00 PM,-1,55,52,58,54,48,-1
1:15:00 PM,-1,48,51,49,52,42,-1
1:30:00 PM,-1,32,35,30,34,25,-1
1:45:00 PM,-1,16,14,17,15,13,-1
2:00:00 PM,-1,10,10,10,10,10,-1
2:15:00 PM,-1,10,10,10,10,10,-1
2:30:00 PM,-1,10,10,10,10,10,-1
2:45:00 PM,-1,11,10,12,9,10,-1
3:00:00 PM,-1,10,10,10,10,10,-1
3:15:00 PM,-1,10,10,10,10,10,-1
3:30:00 PM,-1,10,10,10,10,10,-1
3:45:00 PM,-1,10,10,10,10,10,-1
4:00:00 PM,-1,10,10,10,10,10,-1
4:15:00 PM,-1,12,11,13,14,12,-1
4:30:00 PM,-1,15,16,14,17,15,-1
4:45:00 PM,-1,22,19,21,23,18,-1
5:00:00 PM,-1,35,32,38,36,30,-1
5:15:00 PM,-1,45,48,42,44,40,-1
5:30:00 PM,-1,55,52,58,60,50,-1
5:45:00 PM,-1,65,68,62,64,55,-1
6:00:00 PM,-1,75,72,78,74,60,-1
6:15:00 PM,-1,70,68,72,71,55,-1
6:30:00 PM,-1,60,62,58,63,50,-1
6:45:00 PM,-1,50,48,52,49,45,-1
7:00:00 PM,-1,40,38,42,41,35,-1
7:15:00 PM,-1,30,32,28,33,25,-1
7:30:00 PM,-1,20,18,22,19,20,-1
7:45:00 PM,-1,15,14,16,15,15,-1
8:00:00 PM,-1,10,10,10,10,15,-1
8:15:00 PM,-1,10,10,10,10,15,-1
8:30:00 PM,-1,10,10,10,10,15,-1
8:45:00 PM,-1,10,10,10,10,15,-1
9:00:00 PM,-1,10,10,10,10,10,-1
9:15:00 PM,-1,10,10,10,10,10,-1
9:30:00 PM,-1,10,10,10,10,10,-1
9:45:00 PM,-1,10,10,10,10,10,-1
10:00:00 PM,-1,10,10,10,10,10,-1
10:15:00 PM,-1,10,10,10,10,10,-1
10:30:00 PM,-1,10,10,10,10,10,-1
10:45:00 PM,-1,10,10,10,10,10,-1
11:00:00 PM,-1,10,10,10,10,10,-1
11:15:00 PM,-1,10,10,10,10,10,-1
11:30:00 PM,-1,10,10,10,10,10,-1
11:45:00 PM,-1,10,10,10,10,10,-1
