Time,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
12:00:00 AM,-1,-1,-1,-1,-1,-1,-1
12:15:00 AM,-1,-1,-1,-1,-1,-1,-1
12:30:00 AM,-1,-1,-1,-1,-1,-1,-1
12:45:00 AM,-1,-1,-1,-1,-1,-1,-1
1:00:00 AM,-1,-1,-1,-1,-1,-1,-1
1:15:00 AM,-1,-1,-1,-1,-1,-1,-1
1:30:00 AM,-1,-1,-1,-1,-1,-1,-1
1:45:00 AM,-1,-1,-1,-1,-1,-1,-1
2:00:00 AM,-1,-1,-1,-1,-1,-1,-1
2:15:00 AM,-1,-1,-1,-1,-1,-1,-1
2:30:00 AM,-1,-1,-1,-1,-1,-1,-1
2:45:00 AM,-1,-1,-1,-1,-1,-1,-1
3:00:00 AM,-1,-1,-1,-1,-1,-1,-1
3:15:00 AM,-1,-1,-1,-1,-1,-1,-1
3:30:00 AM,-1,-1,-1,-1,-1,-1,-1
3:45:00 AM,-1,-1,-1,-1,-1,-1,-1
4:00:00 AM,-1,-1,-1,-1,-1,-1,-1
4:15:00 AM,-1,-1,-1,-1,-1,-1,-1
4:30:00 AM,-1,-1,-1,-1,-1,-1,-1
4:45:00 AM,-1,-1,-1,-1,-1,-1,-1
5:00:00 AM,-1,-1,-1,-1,-1,-1,-1
5:15:00 AM,-1,-1,-1,-1,-1,-1,-1
5:30:00 AM,-1,-1,-1,-1,-1,-1,-1
5:45:00 AM,-1,-1,-1,-1,-1,-1,-1
6:00:00 AM,-1,-1,-1,-1,-1,-1,-1
6:15:00 AM,-1,-1,-1,-1,-1,-1,-1
6:30:00 AM,-1,-1,-1,-1,-1,-1,-1
6:45:00 AM,-1,-1,-1,-1,-1,-1,-1
7:00:00 AM,-1,-1,-1,-1,-1,-1,-1
7:15:00 AM,-1,-1,-1,-1,-1,-1,-1
7:30:00 AM,-1,-1,-1,-1,-1,-1,-1
7:45:00 AM,-1,-1,-1,-1,-1,-1,-1
8:00:00 AM,-1,-1,-1,-1,-1,-1,-1
8:15:00 AM,-1,-1,-1,-1,-1,-1,-1
8:30:00 AM,-1,-1,-1,-1,-1,-1,-1
8:45:00 AM,-1,-1,-1,-1,-1,-1,-1
9:00:00 AM,-1,-1,-1,-1,-1,-1,-1
9:15:00 AM,-1,-1,-1,-1,-1,-1,-1
9:30:00 AM,-1,-1,-1,-1,-1,-1,-1
9:45:00 AM,-1,-1,-1,-1,-1,-1,-1
10:00:00 AM,-1,-1,-1,-1,-1,-1,-1
10:15:00 AM,-1,-1,-1,-1,-1,-1,-1
10:30:00 AM,-1,10,10,10,10,10,-1
10:45:00 AM,-1,10,10,10,10,10,-1
11:00:00 AM,-1,10,10,10,10,10,-1
11:15:00 AM,-1,10,10,10,10,10,-1
11:30:00 AM,-1,10,10,10,10,10,-1
11:45:00 AM,-1,10,10,10,10,10,-1
12:00:00 PM,-1,10,10,10,10,10,-1
12:15:00 PM,-1,10,10,10,10,10,-1
12:30:00 PM,-1,10,10,10,10,10,-1
12:45:00 PM,-1,10,10,10,10,10,-1
1:00:00 PM,-1,10,10,10,10,10,-1
1:15:00 PM,-1,10,10,10,10,10,-1
1:30:00 PM,-1,10,10,10,10,10,-1
1:45:00 PM,-1,10,10,10,10,10,-1
2:00:00 PM,-1,10,10,10,10,10,-1
2:15:00 PM,-1,10,10,10,10,10,-1
2:30:00 PM,-1,10,10,10,10,10,-1
2:45:00 PM,-1,10,10,10,10,10,-1
3:00:00 PM,-1,10,10,10,10,10,-1
3:15:00 PM,-1,10,10,10,10,10,-1
3:30:00 PM,-1,10,10,10,10,10,-1
3:45:00 PM,-1,12,11,12,11,10,-1
4:00:00 PM,-1,15,14,15,14,12,-1
4:15:00 PM,-1,18,16,18,16,15,-1
4:30:00 PM,10,22,20,22,20,18,-1
4:45:00 PM,12,25,24,25,24,20,-1
5:00:00 PM,15,28,26,28,26,24,-1
5:15:00 PM,18,32,30,32,30,28,-1
5:30:00 PM,22,35,34,35,34,32,-1
5:45:00 PM,25,34,35,34,35,31,-1
6:00:00 PM,30,32,34,32,34,28,-1
6:15:00 PM,32,30,32,30,32,25,-1
6:30:00 PM,35,28,30,28,30,22,-1
6:45:00 PM,30,25,28,25,28,20,-1
7:00:00 PM,25,22,25,22,25,18,-1
7:15:00 PM,22,20,22,20,22,15,-1
7:30:00 PM,20,18,20,18,20,12,-1
7:45:00 PM,18,15,18,15,18,10,-1
8:00:00 PM,15,12,15,12,15,10,-1
8:15:00 PM,12,10,12,10,12,10,-1
8:30:00 PM,10,10,10,10,10,10,-1
8:45:00 PM,-1,-1,-1,-1,-1,-1,-1
9:00:00 PM,-1,-1,-1,-1,-1,-1,-1
9:15:00 PM,-1,-1,-1,-1,-1,-1,-1
9:30:00 PM,-1,-1,-1,-1,-1,-1,-1
9:45:00 PM,-1,-1,-1,-1,-1,-1,-1
10:00:00 PM,-1,-1,-1,-1,-1,-1,-1
10:15:00 PM,-1,-1,-1,-1,-1,-1,-1
10:30:00 PM,-1,-1,-1,-1,-1,-1,-1
10:45:00 PM,-1,-1,-1,-1,-1,-1,-1
11:00:00 PM,-1,-1,-1,-1,-1,-1,-1
11:15:00 PM,-1,-1,-1,-1,-1,-1,-1
11:30:00 PM,-1,-1,-1,-1,-1,-1,-1
11:45:00 PM,-1,-1,-1,-1,-1,-1,-1
