Time,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
12:00:00 AM,-1,-1,-1,-1,-1,-1,-1
12:15:00 AM,-1,-1,-1,-1,-1,-1,-1
12:30:00 AM,-1,-1,-1,-1,-1,-1,-1
12:45:00 AM,-1,-1,-1,-1,-1,-1,-1
1:00:00 AM,-1,-1,-1,-1,-1,-1,-1
1:15:00 AM,-1,-1,-1,-1,-1,-1,-1
1:30:00 AM,-1,-1,-1,-1,-1,-1,-1
1:45:00 AM,-1,-1,-1,-1,-1,-1,-1
2:00:00 AM,-1,-1,-1,-1,-1,-1,-1
2:15:00 AM,-1,-1,-1,-1,-1,-1,-1
2:30:00 AM,-1,-1,-1,-1,-1,-1,-1
2:45:00 AM,-1,-1,-1,-1,-1,-1,-1
3:00:00 AM,-1,-1,-1,-1,-1,-1,-1
3:15:00 AM,-1,-1,-1,-1,-1,-1,-1
3:30:00 AM,-1,-1,-1,-1,-1,-1,-1
3:45:00 AM,-1,-1,-1,-1,-1,-1,-1
4:00:00 AM,-1,-1,-1,-1,-1,-1,-1
4:15:00 AM,-1,-1,-1,-1,-1,-1,-1
4:30:00 AM,-1,-1,-1,-1,-1,-1,-1
4:45:00 AM,-1,-1,-1,-1,-1,-1,-1
5:00:00 AM,-1,-1,-1,-1,-1,-1,-1
5:15:00 AM,-1,-1,-1,-1,-1,-1,-1
5:30:00 AM,-1,-1,-1,-1,-1,-1,-1
5:45:00 AM,-1,-1,-1,-1,-1,-1,-1
6:00:00 AM,-1,-1,-1,-1,-1,-1,-1
6:15:00 AM,-1,-1,-1,-1,-1,-1,-1
6:30:00 AM,-1,-1,-1,-1,-1,-1,-1
6:45:00 AM,-1,-1,-1,-1,-1,-1,-1
7:00:00 AM,-1,10,10,10,10,10,-1
7:15:00 AM,-1,15,10,15,10,12,-1
7:30:00 AM,-1,25,12,25,12,20,-1
7:45:00 AM,-1,45,15,45,15,35,-1
8:00:00 AM,-1,95,25,92,25,75,-1
8:15:00 AM,-1,115,45,120,45,85,-1
8:30:00 AM,-1,130,70,125,65,90,-1
8:45:00 AM,-1,120,95,115,90,80,-1
9:00:00 AM,10,90,125,95,130,70,10
9:15:00 AM,12,70,115,75,120,55,12
9:30:00 AM,15,50,90,55,95,40,15
9:45:00 AM,14,35,70,40,75,30,14
10:00:00 AM,10,20,45,25,50,20,10
10:15:00 AM,10,15,30,15,35,15,10
10:30:00 AM,10,10,20,10,25,10,10
10:45:00 AM,10,10,15,10,15,10,10
11:00:00 AM,10,10,10,10,10,10,10
11:15:00 AM,10,12,12,12,12,10,10
11:30:00 AM,10,15,15,15,15,12,10
11:45:00 AM,10,18,18,18,18,15,10
12:00:00 PM,10,22,22,22,22,18,10
12:15:00 PM,10,25,25,25,25,20,10
12:30:00 PM,10,20,20,20,20,15,10
12:45:00 PM,10,15,15,15,15,12,10
1:00:00 PM,10,10,10,10,10,10,10
1:15:00 PM,10,10,10,10,10,10,10
1:30:00 PM,10,10,10,10,10,10,10
1:45:00 PM,10,10,10,10,10,10,10
2:00:00 PM,10,12,12,12,12,10,10
2:15:00 PM,10,15,15,15,15,12,10
2:30:00 PM,10,18,18,18,18,15,10
2:45:00 PM,10,15,15,15,15,12,10
3:00:00 PM,10,12,12,12,12,10,10
3:15:00 PM,10,10,10,10,10,10,10
3:30:00 PM,10,10,10,10,10,10,10
3:45:00 PM,10,10,10,10,10,10,10
4:00:00 PM,-1,10,10,10,10,10,-1
4:15:00 PM,-1,10,10,10,10,10,-1
4:30:00 PM,-1,10,10,10,10,10,-1
4:45:00 PM,-1,10,10,10,10,10,-1
5:00:00 PM,-1,10,10,10,10,10,-1
5:15:00 PM,-1,10,10,10,10,10,-1
5:30:00 PM,-1,10,10,10,10,10,-1
5:45:00 PM,-1,10,10,10,10,10,-1
6:00:00 PM,-1,10,10,10,10,10,-1
6:15:00 PM,-1,10,10,10,10,10,-1
6:30:00 PM,-1,10,10,10,10,10,-1
6:45:00 PM,-1,10,10,10,10,10,-1
7:00:00 PM,-1,10,-1,10,-1,-1,-1
7:15:00 PM,-1,10,-1,10,-1,-1,-1
7:30:00 PM,-1,10,-1,10,-1,-1,-1
7:45:00 PM,-1,10,-1,10,-1,-1,-1
8:00:00 PM,-1,-1,-1,-1,-1,-1,-1
8:15:00 PM,-1,-1,-1,-1,-1,-1,-1
8:30:00 PM,-1,-1,-1,-1,-1,-1,-1
8:45:00 PM,-1,-1,-1,-1,-1,-1,-1
9:00:00 PM,-1,-1,-1,-1,-1,-1,-1
9:15:00 PM,-1,-1,-1,-1,-1,-1,-1
9:30:00 PM,-1,-1,-1,-1,-1,-1,-1
9:45:00 PM,-1,-1,-1,-1,-1,-1,-1
10:00:00 PM,-1,-1,-1,-1,-1,-1,-1
10:15:00 PM,-1,-1,-1,-1,-1,-1,-1
10:30:00 PM,-1,-1,-1,-1,-1,-1,-1
10:45:00 PM,-1,-1,-1,-1,-1,-1,-1
11:00:00 PM,-1,-1,-1,-1,-1,-1,-1
11:15:00 PM,-1,-1,-1,-1,-1,-1,-1
11:30:00 PM,-1,-1,-1,-1,-1,-1,-1
11:45:00 PM,-1,-1,-1,-1,-1,-1,-1
