buildingCode,building,day,time,people
CPEH,Carolyn Pope Edwards Hall 321,M,09:30,300
CPEH,Carolyn Pope Edwards Hall 321,M,09:45,300
CPEH,Carolyn Pope Edwards Hall 321,M,10:00,312
CPEH,Carolyn Pope Edwards Hall 321,M,10:15,312
CPEH,Carolyn Pope Edwards Hall 321,M,10:30,418
CPEH,Carolyn Pope Edwards Hall 321,M,10:45,351
CPEH,Carolyn Pope Edwards Hall 321,M,11:00,351
CPEH,Carolyn Pope Edwards Hall 321,M,11:15,351
CPEH,Carolyn Pope Edwards Hall 321,M,11:30,371
CPEH,Carolyn Pope Edwards Hall 321,M,11:45,338
CPEH,Carolyn Pope Edwards Hall 321,M,12:00,338
CPEH,Carolyn Pope Edwards Hall 321,M,12:15,338
CPEH,Carolyn Pope Edwards Hall 321,M,12:30,114
CPEH,Carolyn Pope Edwards Hall 321,M,12:45,114
CPEH,Carolyn Pope Edwards Hall 321,M,13:00,135
CPEH,Carolyn Pope Edwards Hall 321,M,13:15,135
CPEH,Carolyn Pope Edwards Hall 321,M,13:30,318
CPEH,Carolyn Pope Edwards Hall 321,M,13:45,318
CPEH,Carolyn Pope Edwards Hall 321,M,14:00,374
CPEH,Carolyn Pope Edwards Hall 321,M,14:15,374
CPEH,Carolyn Pope Edwards Hall 321,M,14:30,138
CPEH,Carolyn Pope Edwards Hall 321,M,14:45,138
CPEH,Carolyn Pope Edwards Hall 321,M,15:00,170
CPEH,Carolyn Pope Edwards Hall 321,M,15:15,114
CPEH,Carolyn Pope Edwards Hall 321,M,15:30,68
CPEH,Carolyn Pope Edwards Hall 321,M,15:45,68
CPEH,Carolyn Pope Edwards Hall 321,M,16:00,47
CPEH,Carolyn Pope Edwards Hall 321,M,16:15,47
CPEH,Carolyn Pope Edwards Hall 321,M,16:30,169
CPEH,Carolyn Pope Edwards Hall 321,M,16:45,169
CPEH,Carolyn Pope Edwards Hall 321,M,17:00,183
CPEH,Carolyn Pope Edwards Hall 321,M,17:15,183
CPEH,Carolyn Pope Edwards Hall 321,M,17:30,168
CPEH,Carolyn Pope Edwards Hall 321,M,17:45,85
CPEH,Carolyn Pope Edwards Hall 321,M,18:00,60
CPEH,Carolyn Pope Edwards Hall 321,M,18:15,60
CPEH,Carolyn Pope Edwards Hall 321,M,18:30,21
CPEH,Carolyn Pope Edwards Hall 321,M,18:45,21
CPEH,Carolyn Pope Edwards Hall 321,M,19:00,21
CPEH,Carolyn Pope Edwards Hall 321,M,19:15,21
CPEH,Carolyn Pope Edwards Hall 321,M,19:30,21
CPEH,Carolyn Pope Edwards Hall 321,M,19:45,21
CPEH,Carolyn Pope Edwards Hall 321,M,20:00,7
CPEH,Carolyn Pope Edwards Hall 321,M,20:15,7
CPEH,Carolyn Pope Edwards Hall 321,M,20:30,7
CPEH,Carolyn Pope Edwards Hall 321,M,20:45,7
CPEH,Carolyn Pope Edwards Hall 321,T,09:30,264
CPEH,Carolyn Pope Edwards Hall 321,T,09:45,264
